,index,_id,detail_url,shop_name,phone,price_range,category,score,address,locatedin,industry_group,reviews_log,digital_presence,contact_date,process_status,reviews_log_norm,score_norm,merchant_rating,tier,channel
0,188605,687471419566b04d393ffcda,https://www.google.com/maps/place/san+antonio+sourdough+bakery+cafe+lane+cove/data=!4m7!3m6!1s0x6b12af556e125a6f:0xc47da3f419607eab!8m2!3d-33.8148532!4d151.1690642!16s%2fg%2f11vc0jdckf!19schijb1osblwvemsrq35ggfsjfcq?authuser=0&hl=en&rclk=1,san antonio sourdough bakery cafe lane cove,+61 413 630 430,a$1–20,cafe,3.9,"14/24-28 burns bay rd, lane cove nsw 2066, australia",floor 0 · lane cove market square,Hospitality,3.091042453,0,2025-10-05,won,0.2883642916,0.78,23.30550041,Tier 3,Tele
1,130701,68747c490a6bcb38d5971d6e,https://www.google.com/maps/place/sahara+cafe+%26+grill+casula/data=!4m7!3m6!1s0x6b129561c719dc1b:0x433f75605feaf844!8m2!3d-33.9477917!4d150.9003578!16s%2fg%2f11gj0sjstk!19schijg9wzx2gvemsrrpjqx2b1p0m?authuser=0&hl=en&rclk=1,sahara cafe & grill casula,+61 2 9602 1466,a$20–40,turkish restaurant,4.4,"16b kurrajong rd, casula nsw 2170, australia",located in: casula mall,Hospitality,6.423246964,1,2025-10-25,process,0.7706340394,0.88,67.46438276,Tier 1,Tele
2,215233,68747c218cc79c880a6c6517,https://www.google.com/maps/place/abbys+patties/data=!4m7!3m6!1s0x6b128fcb4e6765d3:0x59be7fa2e00adc81!8m2!3d-33.7560367!4d150.7127445!16s%2fg%2f11sgs80tf9!19schij02vntsupemsrgdwk4kj_vlk?authuser=0&hl=en&rclk=1,abbys patties,+61 435 056 530,a$1–20,restaurant,4.9,"72 parker st, kingswood nsw 2747, australia",,Hospitality,2.833213344,1,2025-10-25,lost,0.2510487009,0.98,31.49340907,Tier 2,Tele
3,89158,68747c7b69357364acfc72c2,https://www.google.com/maps/place/hunter%27s+corner/data=!4m7!3m6!1s0x6b12b1d955c7a07d:0x58410c0f385723f2!8m2!3d-33.8928906!4d151.2040286!16s%2fg%2f11bwf6fhsq!19schijfadhvdmxemsr8inxoa8mqvg?authuser=0&hl=en&rclk=1,hunter's corner,+61 2 8540 6429,a$20–40,cafe,4.5,"89 pitt st, redfern nsw 2016, australia",,Hospitality,1.098612289,0,2025-10-27,lost,0,0.9,3.6,Tier 3,Tele
4,99334,6869997d4894724204811f3f,https://www.google.com/maps/place/ikea+restaurant/data=!4m7!3m6!1s0x6b12a5ffad72727b:0x63dfdc9d3a24497e!8m2!3d-33.83544!4d151.0850023!16s%2fg%2f11hgy4hzcx!19schije3jyrf-lemsrfkkkop3c32m?authuser=0&hl=en&rclk=1,ikea restaurant,+61 2 9010 0264,a$1–20,swedish restaurant,3.9,"1 oulton ave, rhodes nsw 2138, australia",,Hospitality,3.555348061,0,2025-10-14,lost,0.3555632129,0.78,28.0094249,Tier 2,Tele
5,93960,68747db34f66e0cc5315fdc9,https://www.google.com/maps/place/feel+thai+restaurant/data=!4m7!3m6!1s0x6b12bf538898df41:0x1090ef9ad60eacf9!8m2!3d-33.9532758!4d150.9983736!16s%2fg%2f11y40v6zkm!19schijqd-yifo_emsr-awo1prvkba?authuser=0&hl=en&rclk=1,feel thai restaurant,+61 2 8773 8255,a$20–40,thai restaurant,4.5,"38 anderson ave, panania nsw 2213, australia",,Hospitality,1.386294361,0,2025-10-13,process,0.04163620813,0.9,6.514534569,Tier 3,Tele
6,224000,68747c2c138006c93a2191dc,https://www.google.com/maps/place/dosa+on+wheels/data=!4m7!3m6!1s0x6b129954aaeb0457:0x56c01e874e34386a!8m2!3d-33.7657316!4d150.91053!16s%2fg%2f11r17frp8z!19schijvwtrqlszemsrajg0tocewfy?authuser=0&hl=en&rclk=1,dosa on wheels,+61 452 623 672,a$20–40,indian restaurant,4.3,"20 third ave, blacktown nsw 2148, australia",,Hospitality,3.988984047,1,2025-10-12,process,0.4183233215,0.86,42.72263251,Tier 1,Tele
7,123287,6874987ffcad37747de44358,https://www.google.com/maps/place/man+lin+wah+chinese+restaurant/data=!4m7!3m6!1s0x6b12c78497fb8e4d:0xee1df6c889282d16!8m2!3d-34.0336456!4d151.1002807!16s%2fg%2f1v2gdxvx!19schijty77l4themsrfi0oicj2he4?authuser=0&hl=en&rclk=1,man lin wah chinese restaurant,+61 2 9526 1130,a$20–40,chinese restaurant,4.3,"601 kingsway, miranda nsw 2228, australia",,Hospitality,1.945910149,0,2025-10-07,lost,0.1226293657,0.86,12.0240556,Tier 3,Tele
8,105307,68747cc0ccd653e596593135,https://www.google.com/maps/place/emperor%27s+garden+restaurant/data=!4m7!3m6!1s0x6b12ae247c1ecdc1:0xdb36ce7e85437b63!8m2!3d-33.8792825!4d151.2040547!16s%2fg%2f1td9w893!19schijwc0efcsuemsry3tdhx7onts?authuser=0&hl=en&rclk=1,emperor's garden restaurant,+61 2 9211 2135,a$20–40,cantonese restaurant,3.6,"96-100 hay st, haymarket nsw 2000, australia",,Hospitality,4.418840608,0,2025-10-06,process,0.4805364344,0.72,36.51755041,Tier 2,Tele
9,231332,686a9098040444bf6f07af0b,https://www.google.com/maps/place/gangnam+bakery+cafe/data=!4m7!3m6!1s0x6b12a122d9e724d3:0x84f74a2eadf0ab4a!8m2!3d-33.8657734!4d151.0432587!16s%2fg%2f11kc3k4775!19schij0ytn2skhemsrsqvwrs5k94q?authuser=0&hl=en&rclk=1,gangnam bakery cafe,+61 481 169 821,a$1–20,cafe,4.3,"shop 3/2 kerrs rd, lidcombe nsw 2141, australia",,Hospitality,4.521788577,1,2025-10-08,lost,0.4954360875,0.86,48.12052613,Tier 1,Tele
